Fold,Final Train Accuracy,Final Val Accuracy,Average Train Accuracy,Average Val Accuracy,Final Train F1,Final Val F1,Average Train F1,Average Val F1
0,94.47385785615197,85.48537938774238,77.70674453282902,72.0937714321342,0.9447714936552533,0.854964593410439,0.7753364307660503,0.7192978065245914
1,95.42544955758649,86.68661803520585,78.4155855289478,72.77605627948542,0.954265450076644,0.8668240081308916,0.7817971286942965,0.7256880787844664
2,95.5906726867463,86.61387867074006,79.08804366462822,73.64813891140341,0.9559133852615858,0.8660531619192902,0.78880569864974,0.7340207232265519
3,95.29245197241093,86.82260762939949,79.1922974008599,73.58226388037366,0.9529357990194929,0.8684811706098949,0.7905350713066808,0.73430208138975
4,96.02218556379648,87.53234337493376,79.68662501461287,74.07753057682916,0.960230660856456,0.8755405524424527,0.795234409384793,0.7392257368354056
