Fold,Final Train Accuracy,Final Val Accuracy,Average Train Accuracy,Average Val Accuracy,Final Train F1,Final Val F1,Average Train F1,Average Val F1
0,93.51473239568341,84.5709416630297,71.36390913767035,66.0556663964919,0.9351654646539099,0.8456624229253107,0.70667294567615,0.6535108897423976
1,95.58677591483216,86.75104432944697,77.71957270597038,72.18430076688074,0.9558805630107182,0.8676040249988755,0.773412561561306,0.7183229445547588
2,95.1654049785158,86.40085624623315,76.82185257732495,71.47580896564625,0.9516680643339395,0.8640502379211028,0.7632828133468277,0.7100162724113812
3,93.96443555405457,84.93863851277628,74.6768727187707,68.89629337129676,0.9396462593208471,0.8492898961133077,0.7405040540391454,0.6829609867346258
4,94.45958408562484,85.59122130662038,76.86786080766879,71.12375172757784,0.9446241273303665,0.8560379827945238,0.7647247518924697,0.7072885119140748
