Fold,Final Train Accuracy,Final Val Accuracy,Average Train Accuracy,Average Val Accuracy,Final Train F1,Final Val F1,Average Train F1,Average Val F1
0,95.6644515683208,86.99108423218405,79.90288984605154,74.18962113182451,0.9566597823428324,0.8698760028025925,0.796888435541517,0.7400128572543462
1,94.90458104506227,85.4542053743999,77.29380621093486,71.46613463017228,0.9490635299485827,0.8545164316592088,0.7706043000633801,0.7125522194229938
2,93.98104610140959,85.05725627117235,75.58342728883392,70.02195689673087,0.9398580844182182,0.8507760439056612,0.7531609350319406,0.6973405788291059
3,94.71599101146947,85.77826733033366,76.7215789678777,71.19165982563152,0.9471986449211294,0.8578251885659529,0.7649804886270278,0.7098026854511315
4,94.49907127177316,85.64941340288675,76.79799446659825,71.53351760830483,0.9450052648489751,0.8566058107168744,0.7666702135569707,0.714348408237864
